symptom,organ
abdominal pain,abdomen
abdominal distension,abdomen
loss of appetite,unspecified
mass,larynx
dyspnea dysphagia odynophagia foreign body feeling,unspecified
hoarseness,unspecified
mass bulging,pharyngolaryngeal cavity
laryngeal cyst,larynx
throat discomfort,throat
cyst,larynx
mass,epiglottis
loose connective tissue,unspecified
lymphoid infiltration,unspecified
blunt,head
sharp forces,head
bloated body,abdomen
infested,body
blow flies c,unspecified
hairy maggots,abdomen
posterior spiracle,abdomen
mouthhooks curved downwards,cephaloskeleton
sclerite,cephaloskeleton
inner ventral tubercles,abdomen
tubercles,abdomen
peritreme,abdomen
spines,abdomen
outer ventral tubercle,abdomen
accessory sclerite,cephaloskeleton
morphology,unspecified
preserved,unspecified
denaturation,unspecified
s extension,unspecified
haematemesis,unspecified
lethargy,unspecified
bleeding,blood
bleeding,gastrointestinal
bleeding,duodenal
pathological bleeding,unspecified
ecchymoses,skin
pallor,skin
haemarthrosis,joints
normochromic anaemia,bone marrow
aggregation,blood
recovery,heart
response,unspecified
improvement,blood
clinical stabilization,unspecified
pain,unspecified
able to move her arm,shoulder
abduction,shoulder
symptom,limb ischemia
organ,leg
symptom,low back pain
organ,back
symptom,retroperitoneal hematoma
organ,retroperitoneum
symptom,urosepsis
organ,unspecified
symptom,retroperitoneal hematoma
organ,retroperitoneum
enlarged,lymphnode
symptoms,unspecified
macroscopic tongue tonsil hypertrophy,tongue
enlarged lymphnodes,lymphnodes
thickening,base of the tongue
tumour cells,unspecified
uptake,oropharynx
consolidation,unspecified
thickening,tongue base
uptake,left neck
tumour,unspecified
toxicity grade,unspecified
remission cr,unspecified
flat,head
expansion,CTV
enlarged,right latero-cervical lymphnode
symptoms,unspecified
enlarged,lymphnodes
tumour cells,lymphnode
uptake,tongue base
enlarged,lymphnodes
uptake,oropharynx
tumour cells,unspecified
cough,unspecified
fever,unspecified
limb pain,unspecified
dyspnea,lungs
disoriented,brain
could not communicate verbally,brain
weakness,muscle
pharyngeal weakness,pharynx
paresthesia,nervous system
dysphagia,esophagus
protection mechanisms,unspecified
agitation,unspecified
disorientation,brain
dysphagia,esophagus
massive oral,mouth
pharyngeal dry saliva residuals,mouth
thick fluids,esophagus
laceration,unspecified
lost,ear
avulsed,ear
perichondrium,ear
wound,ear
external auditory canal stenosis,ear
tissue necrosis,unspecified
inflammation,unspecified
skin ischemia,unspecified
necrosis,auricle
left auricle healed,auricle
skin defect,ear
right lower abdominal pain,abdomen
vomiting,unspecified
tenderness,point
point,abdomen
abdominal distension,abdomen
leukocytosis,blood
thickened appendiceal wall,appendix
dilated ileum,ileum
ascites,abdomen
